"Jday","y1","y2","Tsoil","Tair","SWC","PAR","WS","PA","rH","LE","H","SR"
235.5833333,0.0361078685191608,-0.999347898297186,24.26,29.4,25.4,835.2878357,1.68874,101.08,68.394,246,40.4,4.92
235.6041667,0.0152817243789865,-0.999883227632109,24.36,29.2,25.3,1298.156963,1.2484,101.063,69.871,202,31.4,4.7
235.625,-0.00555095225813085,-0.999984593345831,24.44,29.3,25.3,1123.559788,1.29215,101.051,70.298,191,17.8,5
235.6458333,-0.0263812197226236,-0.999651955055332,24.5,28.4,25.3,591.5168482,0.843842,101.066,75.494,43.6,-7.3196,5.38
235.6666667,-0.0472001373442864,-0.998885452409174,24.55,27.5,25.3,512.2284948,0.217328,101.066,82.147,56.8,2.0476,5.55
235.6875,-0.0679984696365132,-0.99768542543584,24.59,26.7,25.3,326.3108724,1.0928,101.077,86.384,50.2,2.0854,NA
235.7083333,-0.0887672898659546,-0.996052392321736,24.62,26.3,25.3,148.2666136,1.01114,101.089,88.187,126.266666666667,-2.7885,NA
235.7291667,-0.109497683541322,-0.993987050870928,24.63,26.3,25.3,70.89203383,0.506666,101.085,88.98,89.55,-1.2761,NA
235.75,-0.130180454446146,-0.991490317290187,24.64,25.5,25.3,34.90446715,0.417879,101.101,89.495,14.5078,-56.7,NA
235.7708333,-0.150806725641997,-0.988563266311843,24.65,22.3,25.3,-7.390261952,1.7699,101.133,88.388,-11.5766,-17,NA
235.7916667,-0.171367643627401,-0.985207151170551,24.62,21.8,25.4,-20.08551395,0.821214,101.165,91.127,-26.3,0.849,NA
235.8125,-0.191854087367054,-0.981423460673605,24.56,21.4,25.4,-20.28076378,0.111192,101.179,92.394,-26.3,0.196,NA
235.8333333,-0.2122572643817,-0.977213821902452,24.48,21.2,25.4,-20.27189916,0.288738,101.209,93.345,-25.2,-1.8606,4.48
235.8541667,-0.232568416732417,-0.972580038628481,24.4,20.9,25.4,-20.20078435,0.733508,101.257,93.737,-95.5,-0.977,4.97
235.875,-0.252778534182509,-0.967524166445749,24.3,20.8,25.4,-19.95507376,0.443008,101.276,94.105,-53,-0.765,5.5
235.8958333,-0.272878943046341,-0.962048378431101,24.2,20.5,25.4,-19.91601083,0.16007,101.288,94.237,-78.725,1.2045,4.48
235.9166667,-0.292861015147103,-0.956155021848972,24.1,20.3,25.4,-19.86011314,0.402665,101.275,94.482,-55.5,0.257,NA
235.9375,-0.312715886231492,-0.949846711053132,24,20.3,25.4,-19.89151796,0.522032,101.281,94.614,-50.8,-0.464,NA
235.9583333,-0.33243503527805,-0.943126156630003,23.91,20.3,25.4,-19.90862073,0.431677,101.296,94.678,-50.8,-0.406,NA
235.9791667,-0.352009997564923,-0.935996240171051,23.81,19.9,25.4,-19.92920391,0.245211,101.309,94.716,-20.8,-0.204,NA
236,-0.371432089436923,-0.928460124580761,23.71,19.3,25.4,-19.89164801,0.296891,101.309,94.851,-13.1355,2.2065,NA
236.0208333,-0.390692975811173,-0.920521047370352,23.61,19.6,25.4,-19.86937942,0.645039,101.31,95.031,-5.471,-1.6206,NA
236.0416667,-0.409784388475336,-0.912182413205766,23.52,19.2,25.4,-19.86010461,0.485061,101.278,95.136,-29.2855,0.29295,NA
